"Plot Title: CalCheck_102816_10778707"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10778707, SEN S/N: 10778707)","Coupler Detached (LGR S/N: 10778707)","Coupler Attached (LGR S/N: 10778707)","Host Connected (LGR S/N: 10778707)","Stopped (LGR S/N: 10778707)","End Of File (LGR S/N: 10778707)"
1,10/28/16 05:00:00 PM,34.858,Logged,,,,
2,10/28/16 05:01:00 PM,34.907,,,,,
3,10/28/16 05:02:00 PM,34.907,,,,,
4,10/28/16 05:03:00 PM,34.957,,,,,
5,10/28/16 05:04:00 PM,35.006,,,,,
6,10/28/16 05:05:00 PM,35.006,,,,,
7,10/28/16 05:06:00 PM,35.055,,,,,
8,10/28/16 05:07:00 PM,35.055,,,,,
9,10/28/16 05:08:00 PM,35.103,,,,,
10,10/28/16 05:09:00 PM,35.103,,,,,
11,10/28/16 05:10:00 PM,35.152,,,,,
12,10/28/16 05:11:00 PM,35.200,,,,,
13,10/28/16 05:12:00 PM,35.200,,,,,
14,10/28/16 05:13:00 PM,35.249,,,,,
15,10/28/16 05:14:00 PM,35.298,,,,,
16,10/28/16 05:15:00 PM,35.298,,,,,
17,10/28/16 05:16:00 PM,35.298,,,,,
18,10/28/16 05:17:00 PM,35.346,,,,,
19,10/28/16 05:18:00 PM,35.395,,,,,
20,10/28/16 05:19:00 PM,35.395,,,,,
21,10/28/16 05:20:00 PM,35.443,,,,,
22,10/28/16 05:21:00 PM,35.443,,,,,
23,10/28/16 05:22:00 PM,35.492,,,,,
24,10/28/16 05:23:00 PM,35.492,,,,,
25,10/28/16 05:24:00 PM,35.541,,,,,
26,10/28/16 05:25:00 PM,35.589,,,,,
27,10/28/16 05:26:00 PM,35.589,,,,,
28,10/28/16 05:27:00 PM,35.638,,,,,
29,10/28/16 05:28:00 PM,35.685,,,,,
30,10/28/16 05:29:00 PM,35.685,,,,,
31,10/28/16 05:30:00 PM,35.733,,,,,
32,10/28/16 05:31:00 PM,35.733,,,,,
33,10/28/16 05:32:00 PM,35.782,,,,,
34,10/28/16 05:33:00 PM,35.782,,,,,
35,10/28/16 05:34:00 PM,35.830,,,,,
36,10/28/16 05:35:00 PM,35.879,,,,,
37,10/28/16 05:36:00 PM,35.879,,,,,
38,10/28/16 05:37:00 PM,35.928,,,,,
39,10/28/16 05:38:00 PM,35.976,,,,,
40,10/28/16 05:39:00 PM,35.976,,,,,
41,10/28/16 05:40:00 PM,36.025,,,,,
42,10/28/16 05:41:00 PM,36.072,,,,,
43,10/28/16 05:42:00 PM,36.072,,,,,
44,10/28/16 05:43:00 PM,36.120,,,,,
45,10/28/16 05:44:00 PM,36.120,,,,,
46,10/28/16 05:45:00 PM,36.169,,,,,
47,10/28/16 05:46:00 PM,36.169,,,,,
48,10/28/16 05:47:00 PM,36.217,,,,,
49,10/28/16 05:48:00 PM,36.266,,,,,
50,10/28/16 05:49:00 PM,36.266,,,,,
51,10/28/16 05:50:00 PM,36.313,,,,,
52,10/28/16 05:51:00 PM,36.361,,,,,
53,10/28/16 05:52:00 PM,36.361,,,,,
54,10/28/16 05:53:00 PM,36.410,,,,,
55,10/28/16 05:54:00 PM,36.459,,,,,
56,10/28/16 05:55:00 PM,36.459,,,,,
57,10/28/16 05:56:00 PM,36.505,,,,,
58,10/28/16 05:57:00 PM,36.505,,,,,
59,10/28/16 05:58:00 PM,36.554,,,,,
60,10/28/16 05:59:00 PM,36.603,,,,,
61,10/28/16 06:00:00 PM,36.651,,,,,
62,10/28/16 06:01:00 PM,36.651,,,,,
63,10/28/16 06:02:00 PM,36.698,,,,,
64,10/28/16 06:03:00 PM,36.698,,,,,
65,10/28/16 06:04:00 PM,36.747,,,,,
66,10/28/16 06:05:00 PM,36.795,,,,,
67,10/28/16 06:06:00 PM,36.842,,,,,
68,10/28/16 06:07:00 PM,36.891,,,,,
69,10/28/16 06:08:00 PM,36.939,,,,,
70,10/28/16 06:09:00 PM,36.939,,,,,
71,10/28/16 06:10:00 PM,36.986,,,,,
72,10/28/16 06:11:00 PM,37.035,,,,,
73,10/28/16 06:12:00 PM,37.081,,,,,
74,10/28/16 06:13:00 PM,37.130,,,,,
75,10/28/16 06:14:00 PM,37.130,,,,,
76,10/28/16 06:15:00 PM,37.179,,,,,
77,10/28/16 06:16:00 PM,37.225,,,,,
78,10/28/16 06:17:00 PM,37.274,,,,,
79,10/28/16 06:18:00 PM,37.274,,,,,
80,10/28/16 06:19:00 PM,37.321,,,,,
81,10/28/16 06:20:00 PM,37.369,,,,,
82,10/28/16 06:21:00 PM,37.369,,,,,
83,10/28/16 06:22:00 PM,37.416,,,,,
84,10/28/16 06:23:00 PM,37.465,,,,,
85,10/28/16 06:24:00 PM,37.465,,,,,
86,10/28/16 06:25:00 PM,37.513,,,,,
87,10/28/16 06:26:00 PM,37.513,,,,,
88,10/28/16 06:27:00 PM,37.609,,,,,
89,10/28/16 06:28:00 PM,37.609,,,,,
90,10/28/16 06:29:00 PM,37.609,,,,,
91,10/28/16 06:30:00 PM,37.656,,,,,
92,10/28/16 06:31:00 PM,37.656,,,,,
93,10/28/16 06:32:00 PM,37.702,,,,,
94,10/28/16 06:33:00 PM,37.702,,,,,
95,10/28/16 06:34:00 PM,37.751,,,,,
96,10/28/16 06:35:00 PM,37.751,,,,,
97,10/28/16 06:36:00 PM,37.798,,,,,
98,10/28/16 06:37:00 PM,37.798,,,,,
99,10/28/16 06:38:00 PM,37.798,,,,,
100,10/28/16 06:39:00 PM,37.798,,,,,
101,10/28/16 06:40:00 PM,37.846,,,,,
102,10/28/16 06:41:00 PM,37.846,,,,,
103,10/28/16 06:42:00 PM,37.846,,,,,
104,10/28/16 06:43:00 PM,37.893,,,,,
105,10/28/16 06:44:00 PM,37.893,,,,,
106,10/28/16 06:45:00 PM,37.893,,,,,
107,10/28/16 06:46:00 PM,37.893,,,,,
108,10/28/16 06:47:00 PM,37.942,,,,,
109,10/28/16 06:48:00 PM,37.942,,,,,
110,10/28/16 06:49:00 PM,37.989,,,,,
111,10/28/16 06:50:00 PM,37.989,,,,,
112,10/28/16 06:51:00 PM,37.989,,,,,
113,10/28/16 06:52:00 PM,37.989,,,,,
114,10/28/16 06:53:00 PM,38.037,,,,,
115,10/28/16 06:54:00 PM,38.037,,,,,
116,10/28/16 06:55:00 PM,38.037,,,,,
117,10/28/16 06:56:00 PM,38.084,,,,,
118,10/28/16 06:57:00 PM,38.084,,,,,
119,10/28/16 06:58:00 PM,38.084,,,,,
120,10/28/16 06:59:00 PM,38.131,,,,,
121,10/28/16 07:00:00 PM,38.131,,,,,
122,10/28/16 07:01:00 PM,38.131,,,,,
123,10/28/16 07:02:00 PM,38.179,,,,,
124,10/28/16 07:03:00 PM,38.179,,,,,
125,10/28/16 07:04:00 PM,38.179,,,,,
126,10/28/16 07:05:00 PM,38.226,,,,,
127,10/28/16 07:06:00 PM,38.226,,,,,
128,10/28/16 07:07:00 PM,38.226,,,,,
129,10/28/16 07:08:00 PM,38.273,,,,,
130,10/28/16 07:09:00 PM,38.273,,,,,
131,10/28/16 07:10:00 PM,38.273,,,,,
132,10/28/16 07:11:00 PM,38.273,,,,,
